cage,genotype,sex,number in cage,diet,timeline,Exp.Week,Week,date (start to end),food intitial (g),food final (g),food intake (total g),intake (total kcal),intake (kcal per day),intake (kcal per hour),discard,notes
7918,WT,M,3,NCD,,-3.00,,7/31/19-8/7/19,399.30,299.70,99.60,637.44,91.06,3.79,,
7918,WT,M,3,NCD,,-2.00,,8/7/19-8/14/19,399.70,303.00,96.70,618.88,88.41,3.68,,
7918,WT,M,3,NCD,,-1.00,,8/14/19-8/21/19,303.00,159.90,143.10,915.84,130.83,5.45,,
7918,WT,M,3,Start KD,,0.00,,8/21/19-8/23/19,94.50,81.70,12.80,81.92,40.96,1.71,,Jar H
7918,WT,M,3,KD,,0.71,,8/23/19-8/26/19,121.90,105.90,16.00,102.40,34.13,1.42,,Jar H
7918,WT,M,3,KD,,1.00,,8/26/19-8/28/19,128.30,118.40,9.90,63.36,31.68,1.32,,Jar H
7918,WT,M,3,KD,,,,8/28/19-8/30/19,,,0.00,0.00,0.00,0.00,,Jar H
7918,WT,M,3,KD,,,,8/30/19-9/2/19,,,0.00,0.00,0.00,0.00,,Jar H
7918,WT,M,3,KD,,,,9/2/19-9/4/19,,,0.00,0.00,0.00,0.00,,Jar H
7918,WT,M,3,KD,,2.00,,8/28/19-9/4/19,118.40,106.20,12.20,78.08,11.15,0.46,,Jar H
7918,WT,M,3,KD,,3.00,,9/4/19-9/11/19,122.50,92.90,29.60,189.44,27.06,1.13,,Jar H
7918,WT,M,3,KD,,3.29,,9/11/19-9/13/19,123.70,113.50,10.20,65.28,32.64,1.36,,Jar H
7918,WT,M,3,KD,,4.00,,9/13/19-9/18/19,134.80,112.40,22.40,143.36,28.67,1.19,,Jar H
7918,WT,M,3,KD,KD/SAC,5.00,,9/18/19-9/25/19,125.40,94.70,30.70,196.48,28.07,1.17,,Jar H
