RetainedRef	DuplicateRef
ENSMUST00000217023.2	ENSMUST00000067840.6
ENSMUST00000161620.7	ENSMUST00000049262.13
ENSMUST00000138166.7	ENSMUST00000114488.7
ENSMUST00000216925.1	ENSMUST00000216841.1
ENSMUST00000216925.1	ENSMUST00000163329.1
ENSMUST00000168767.8	ENSMUST00000099412.2
ENSMUST00000035101.8	ENSMUST00000215916.1
ENSMUST00000035101.8	ENSMUST00000214058.1
ENSMUST00000235278.1	ENSMUST00000182821.7
ENSMUST00000235278.1	ENSMUST00000036744.7
ENSMUST00000214180.1	ENSMUST00000211771.1
ENSMUST00000109533.7	ENSMUST00000029175.13
ENSMUST00000109533.7	ENSMUST00000109531.7
ENSMUST00000031161.10	ENSMUST00000117880.7
ENSMUST00000115524.7	ENSMUST00000008179.6
ENSMUST00000213218.1	ENSMUST00000069578.4
ENSMUST00000214435.1	ENSMUST00000077843.5
ENSMUST00000207340.2	ENSMUST00000080142.1
ENSMUST00000095044.9	ENSMUST00000072111.7
ENSMUST00000034281.12	ENSMUST00000108950.1
ENSMUST00000038107.8	ENSMUST00000219558.1
ENSMUST00000223163.2	ENSMUST00000091481.2
ENSMUST00000171543.7	ENSMUST00000179059.7
ENSMUST00000058978.8	ENSMUST00000021843.12
ENSMUST00000058978.8	ENSMUST00000222740.1
ENSMUST00000190703.6	ENSMUST00000002908.7
ENSMUST00000113896.7	ENSMUST00000113895.1
ENSMUST00000014687.10	ENSMUST00000122219.1
ENSMUST00000156855.7	ENSMUST00000139604.7
ENSMUST00000070878.8	ENSMUST00000177752.8
ENSMUST00000215793.1	ENSMUST00000071294.2
ENSMUST00000064883.13	ENSMUST00000128715.7
ENSMUST00000171843.2	ENSMUST00000213309.2
ENSMUST00000026409.4	ENSMUST00000219215.1
ENSMUST00000026409.4	ENSMUST00000219524.1
ENSMUST00000061234.13	ENSMUST00000105876.8
ENSMUST00000113876.8	ENSMUST00000182001.7
ENSMUST00000113876.8	ENSMUST00000199920.4
ENSMUST00000184146.7	ENSMUST00000034722.4
ENSMUST00000142973.1	ENSMUST00000215106.1
ENSMUST00000118383.7	ENSMUST00000118969.7
ENSMUST00000118383.7	ENSMUST00000032703.9
ENSMUST00000189753.6	ENSMUST00000005839.10
ENSMUST00000159193.7	ENSMUST00000020392.4
ENSMUST00000155677.7	ENSMUST00000117580.7
ENSMUST00000050744.5	ENSMUST00000168144.2
ENSMUST00000043907.13	ENSMUST00000154236.1
ENSMUST00000072554.12	ENSMUST00000169550.7
ENSMUST00000166977.8	ENSMUST00000173163.7
ENSMUST00000166977.8	ENSMUST00000047816.14
ENSMUST00000166977.8	ENSMUST00000172403.8
ENSMUST00000101045.9	ENSMUST00000089003.11
ENSMUST00000004681.13	ENSMUST00000111070.3
ENSMUST00000132815.2	ENSMUST00000116341.3
ENSMUST00000151063.1	ENSMUST00000195592.1
ENSMUST00000063204.8	ENSMUST00000139743.7
ENSMUST00000063204.8	ENSMUST00000137132.7
ENSMUST00000063204.8	ENSMUST00000134279.7
ENSMUST00000063204.8	ENSMUST00000149949.7
ENSMUST00000063204.8	ENSMUST00000124941.7
ENSMUST00000063204.8	ENSMUST00000136546.7
ENSMUST00000063204.8	ENSMUST00000135785.7
ENSMUST00000112859.7	ENSMUST00000112858.7
ENSMUST00000214844.1	ENSMUST00000099607.1
ENSMUST00000236519.1	ENSMUST00000171231.7
ENSMUST00000212883.1	ENSMUST00000212827.1
ENSMUST00000033544.13	ENSMUST00000114074.7
ENSMUST00000174364.1	ENSMUST00000174775.1
ENSMUST00000127988.7	ENSMUST00000108808.7
ENSMUST00000113955.1	ENSMUST00000088137.2
ENSMUST00000161739.7	ENSMUST00000160696.7
ENSMUST00000161739.7	ENSMUST00000079560.9
ENSMUST00000216360.1	ENSMUST00000216075.1
ENSMUST00000216360.1	ENSMUST00000055787.7
ENSMUST00000057921.9	ENSMUST00000063347.11
ENSMUST00000053657.12	ENSMUST00000112279.1
ENSMUST00000215179.2	ENSMUST00000215529.2
ENSMUST00000215179.2	ENSMUST00000099814.1
ENSMUST00000051864.4	ENSMUST00000165183.9
ENSMUST00000221167.1	ENSMUST00000101055.4
ENSMUST00000111627.2	ENSMUST00000093773.7
ENSMUST00000111627.2	ENSMUST00000174193.7
ENSMUST00000111627.2	ENSMUST00000214943.1
ENSMUST00000204907.1	ENSMUST00000230390.1
ENSMUST00000086199.11	ENSMUST00000140685.3
ENSMUST00000215420.1	ENSMUST00000213388.1
ENSMUST00000215420.1	ENSMUST00000165839.2
ENSMUST00000232771.1	ENSMUST00000232780.1
ENSMUST00000191268.6	ENSMUST00000065778.12
ENSMUST00000195612.1	ENSMUST00000077225.7
ENSMUST00000120135.7	ENSMUST00000055087.6
ENSMUST00000102688.1	ENSMUST00000064190.12
ENSMUST00000102688.1	ENSMUST00000171108.7
ENSMUST00000216120.1	ENSMUST00000230154.1
ENSMUST00000055168.4	ENSMUST00000203094.1
ENSMUST00000033700.11	ENSMUST00000114617.1
ENSMUST00000033700.11	ENSMUST00000171933.7
ENSMUST00000033700.11	ENSMUST00000061970.11
ENSMUST00000112860.1	ENSMUST00000223041.1
ENSMUST00000109225.8	ENSMUST00000055102.12
ENSMUST00000109225.8	ENSMUST00000169584.7
ENSMUST00000035766.12	ENSMUST00000101670.2
ENSMUST00000038108.11	ENSMUST00000193279.1
ENSMUST00000219890.1	ENSMUST00000217884.1
ENSMUST00000065976.11	ENSMUST00000229412.1
ENSMUST00000215606.1	ENSMUST00000056235.1
ENSMUST00000206303.2	ENSMUST00000214916.1
ENSMUST00000206303.2	ENSMUST00000214831.1
ENSMUST00000206303.2	ENSMUST00000213465.1
ENSMUST00000206303.2	ENSMUST00000073320.4
ENSMUST00000215991.1	ENSMUST00000217043.2
ENSMUST00000215991.1	ENSMUST00000099875.1
ENSMUST00000067058.2	ENSMUST00000108080.2
ENSMUST00000115578.9	ENSMUST00000005394.12
ENSMUST00000106677.7	ENSMUST00000049527.6
ENSMUST00000081816.10	ENSMUST00000028987.6
ENSMUST00000225031.1	ENSMUST00000175847.7
ENSMUST00000225031.1	ENSMUST00000224836.1
ENSMUST00000163739.2	ENSMUST00000210656.1
ENSMUST00000214494.1	ENSMUST00000214702.1
ENSMUST00000214494.1	ENSMUST00000217351.1
ENSMUST00000214494.1	ENSMUST00000217270.1
ENSMUST00000107361.8	ENSMUST00000107363.2
ENSMUST00000205335.1	ENSMUST00000206765.1
ENSMUST00000085546.12	ENSMUST00000110505.7
ENSMUST00000085546.12	ENSMUST00000093196.10
ENSMUST00000130379.8	ENSMUST00000235112.1
ENSMUST00000037685.8	ENSMUST00000230689.1
ENSMUST00000213748.1	ENSMUST00000068403.3
ENSMUST00000090858.9	ENSMUST00000040915.14
ENSMUST00000229542.1	ENSMUST00000229027.1
ENSMUST00000110636.8	ENSMUST00000110634.7
ENSMUST00000202520.3	ENSMUST00000114668.6
ENSMUST00000202520.3	ENSMUST00000080431.7
ENSMUST00000202520.3	ENSMUST00000202556.3
ENSMUST00000118060.7	ENSMUST00000014683.12
ENSMUST00000106360.2	ENSMUST00000094831.1
ENSMUST00000103238.1	ENSMUST00000077847.11
ENSMUST00000105989.8	ENSMUST00000078200.11
ENSMUST00000222112.1	ENSMUST00000181326.7
ENSMUST00000045902.12	ENSMUST00000111510.7
ENSMUST00000232588.1	ENSMUST00000231520.1
ENSMUST00000213680.1	ENSMUST00000114431.3
ENSMUST00000088677.4	ENSMUST00000121571.7
ENSMUST00000088677.4	ENSMUST00000117699.1
ENSMUST00000039048.1	ENSMUST00000235295.1
ENSMUST00000039048.1	ENSMUST00000237955.1
ENSMUST00000039048.1	ENSMUST00000235837.1
ENSMUST00000109002.8	ENSMUST00000108985.8
ENSMUST00000024936.10	ENSMUST00000234765.1
ENSMUST00000115204.7	ENSMUST00000170535.8
ENSMUST00000042105.10	ENSMUST00000167273.1
ENSMUST00000111095.3	ENSMUST00000223951.1
ENSMUST00000156639.1	ENSMUST00000229654.1
ENSMUST00000134469.8	ENSMUST00000239114.1
ENSMUST00000195574.1	ENSMUST00000188554.6
ENSMUST00000212875.1	ENSMUST00000216703.1
ENSMUST00000114146.7	ENSMUST00000073067.10
ENSMUST00000114146.7	ENSMUST00000037967.5
ENSMUST00000205686.1	ENSMUST00000059318.7
ENSMUST00000217041.2	ENSMUST00000216753.2
ENSMUST00000217041.2	ENSMUST00000112950.2
ENSMUST00000054636.6	ENSMUST00000160576.1
ENSMUST00000032907.8	ENSMUST00000206853.1
ENSMUST00000030460.14	ENSMUST00000106475.1
ENSMUST00000123102.1	ENSMUST00000230947.1
ENSMUST00000213656.1	ENSMUST00000216447.1
ENSMUST00000213656.1	ENSMUST00000213504.1
ENSMUST00000213656.1	ENSMUST00000207820.2
ENSMUST00000213656.1	ENSMUST00000051982.5
ENSMUST00000148482.7	ENSMUST00000146451.7
ENSMUST00000105280.4	ENSMUST00000218031.1
ENSMUST00000032879.14	ENSMUST00000107180.7
ENSMUST00000206920.2	ENSMUST00000089844.2
ENSMUST00000074813.11	ENSMUST00000116546.2
ENSMUST00000164304.8	ENSMUST00000236006.1
ENSMUST00000164304.8	ENSMUST00000080824.12
ENSMUST00000164304.8	ENSMUST00000071857.12
ENSMUST00000164304.8	ENSMUST00000237874.1
ENSMUST00000164304.8	ENSMUST00000169854.1
ENSMUST00000002336.15	ENSMUST00000122432.3
ENSMUST00000002336.15	ENSMUST00000203908.1
ENSMUST00000162201.1	ENSMUST00000070342.3
ENSMUST00000030030.14	ENSMUST00000164866.1
ENSMUST00000161987.7	ENSMUST00000160788.1
ENSMUST00000215069.1	ENSMUST00000079955.5
ENSMUST00000030531.13	ENSMUST00000105804.1
ENSMUST00000114574.2	ENSMUST00000236038.1
ENSMUST00000228966.1	ENSMUST00000229820.1
ENSMUST00000159647.7	ENSMUST00000167155.1
ENSMUST00000112931.7	ENSMUST00000112930.7
ENSMUST00000134652.1	ENSMUST00000053168.3
ENSMUST00000133918.7	ENSMUST00000126399.1
ENSMUST00000111639.7	ENSMUST00000080530.5
ENSMUST00000179556.1	ENSMUST00000053410.10
ENSMUST00000214064.1	ENSMUST00000082342.2
ENSMUST00000202131.3	ENSMUST00000201528.1
ENSMUST00000107880.8	ENSMUST00000054343.14
ENSMUST00000059383.7	ENSMUST00000216889.1
ENSMUST00000120281.7	ENSMUST00000000924.12
ENSMUST00000211352.1	ENSMUST00000019683.10
ENSMUST00000206214.2	ENSMUST00000205727.2
ENSMUST00000202116.3	ENSMUST00000114982.7
ENSMUST00000189915.6	ENSMUST00000191281.6
ENSMUST00000136312.1	ENSMUST00000156249.1
ENSMUST00000209207.1	ENSMUST00000134023.8
ENSMUST00000028071.12	ENSMUST00000051929.12
ENSMUST00000091892.3	ENSMUST00000209786.1
ENSMUST00000234172.1	ENSMUST00000234385.1
ENSMUST00000234172.1	ENSMUST00000234986.1
ENSMUST00000234172.1	ENSMUST00000234940.1
ENSMUST00000217588.2	ENSMUST00000099811.1
ENSMUST00000213134.1	ENSMUST00000216291.1
ENSMUST00000213134.1	ENSMUST00000121280.2
ENSMUST00000206205.2	ENSMUST00000049940.4
ENSMUST00000100672.10	ENSMUST00000137543.8
ENSMUST00000046485.4	ENSMUST00000223114.1
ENSMUST00000036174.9	ENSMUST00000114677.1
ENSMUST00000036174.9	ENSMUST00000179565.7
ENSMUST00000062353.11	ENSMUST00000189174.1
ENSMUST00000161028.1	ENSMUST00000230503.1
ENSMUST00000038626.9	ENSMUST00000216536.1
ENSMUST00000234081.1	ENSMUST00000064775.7
ENSMUST00000217402.1	ENSMUST00000214870.1
ENSMUST00000205488.1	ENSMUST00000206390.1
ENSMUST00000126388.7	ENSMUST00000094055.9
ENSMUST00000126388.7	ENSMUST00000171032.7
ENSMUST00000173689.7	ENSMUST00000230394.1
ENSMUST00000164782.9	ENSMUST00000085412.6
ENSMUST00000033160.14	ENSMUST00000124566.1
ENSMUST00000137092.7	ENSMUST00000129923.1
ENSMUST00000137092.7	ENSMUST00000146282.2
ENSMUST00000225885.1	ENSMUST00000178670.1
ENSMUST00000216910.2	ENSMUST00000077538.1
ENSMUST00000095978.4	ENSMUST00000008594.8
ENSMUST00000095978.4	ENSMUST00000212042.1
ENSMUST00000154606.8	ENSMUST00000238723.1
ENSMUST00000106166.7	ENSMUST00000106165.7
ENSMUST00000191719.5	ENSMUST00000216373.1
ENSMUST00000214301.2	ENSMUST00000056120.4
ENSMUST00000112728.8	ENSMUST00000112802.8
ENSMUST00000181779.1	ENSMUST00000178392.1
ENSMUST00000216188.1	ENSMUST00000214071.1
ENSMUST00000216188.1	ENSMUST00000216907.1
ENSMUST00000216188.1	ENSMUST00000052560.6
ENSMUST00000216188.1	ENSMUST00000214342.1
ENSMUST00000043396.14	ENSMUST00000130990.1
ENSMUST00000068407.5	ENSMUST00000109793.2
ENSMUST00000213103.2	ENSMUST00000216580.1
ENSMUST00000231212.1	ENSMUST00000230353.1
ENSMUST00000215699.1	ENSMUST00000212482.1
ENSMUST00000223467.1	ENSMUST00000221142.1
ENSMUST00000003620.12	ENSMUST00000216391.2
ENSMUST00000170374.7	ENSMUST00000005829.12
ENSMUST00000199312.4	ENSMUST00000196686.1
ENSMUST00000173155.7	ENSMUST00000173617.7
ENSMUST00000173155.7	ENSMUST00000174494.7
ENSMUST00000099096.8	ENSMUST00000109342.1
ENSMUST00000109972.8	ENSMUST00000116440.8
ENSMUST00000071826.9	ENSMUST00000097299.9
ENSMUST00000071826.9	ENSMUST00000163763.1
ENSMUST00000090246.4	ENSMUST00000230673.1
ENSMUST00000127474.2	ENSMUST00000238719.1
ENSMUST00000127474.2	ENSMUST00000238673.1
ENSMUST00000110273.8	ENSMUST00000172184.1
ENSMUST00000153617.8	ENSMUST00000149380.7
ENSMUST00000069451.10	ENSMUST00000161561.7
ENSMUST00000105196.1	ENSMUST00000168926.1
ENSMUST00000027585.13	ENSMUST00000185560.1
ENSMUST00000027585.13	ENSMUST00000160616.7
ENSMUST00000063857.10	ENSMUST00000030269.13
ENSMUST00000105911.1	ENSMUST00000052090.8
ENSMUST00000106914.7	ENSMUST00000106915.3
ENSMUST00000110272.8	ENSMUST00000120942.7
ENSMUST00000110272.8	ENSMUST00000122194.7
ENSMUST00000110272.8	ENSMUST00000117286.1
ENSMUST00000110272.8	ENSMUST00000021662.11
ENSMUST00000205788.2	ENSMUST00000216083.1
ENSMUST00000205788.2	ENSMUST00000079135.5
ENSMUST00000114836.8	ENSMUST00000043925.15
ENSMUST00000042456.3	ENSMUST00000112346.2
ENSMUST00000163848.7	ENSMUST00000163276.7
ENSMUST00000163848.7	ENSMUST00000168555.7
ENSMUST00000163848.7	ENSMUST00000167501.7
ENSMUST00000108022.7	ENSMUST00000108021.1
ENSMUST00000213979.2	ENSMUST00000216331.1
ENSMUST00000213979.2	ENSMUST00000217170.1
ENSMUST00000213979.2	ENSMUST00000076289.1
ENSMUST00000075829.2	ENSMUST00000218893.1
ENSMUST00000045697.11	ENSMUST00000108785.1
ENSMUST00000198761.4	ENSMUST00000199709.2
ENSMUST00000039374.8	ENSMUST00000132428.7
ENSMUST00000039374.8	ENSMUST00000186445.6
ENSMUST00000161053.7	ENSMUST00000115302.1
ENSMUST00000187148.6	ENSMUST00000115891.1
ENSMUST00000198042.4	ENSMUST00000199684.4
ENSMUST00000110232.8	ENSMUST00000183552.7
ENSMUST00000040128.11	ENSMUST00000040149.12
ENSMUST00000066465.2	ENSMUST00000207440.1
ENSMUST00000211400.1	ENSMUST00000209787.1
ENSMUST00000211400.1	ENSMUST00000040468.15
ENSMUST00000216202.1	ENSMUST00000048478.5
ENSMUST00000238695.1	ENSMUST00000156068.2
ENSMUST00000130590.7	ENSMUST00000228989.1
ENSMUST00000149046.3	ENSMUST00000184423.3
ENSMUST00000224386.1	ENSMUST00000091466.3
ENSMUST00000110834.7	ENSMUST00000110833.1
ENSMUST00000216833.1	ENSMUST00000216976.1
ENSMUST00000216833.1	ENSMUST00000099793.2
ENSMUST00000216833.1	ENSMUST00000099792.1
ENSMUST00000223880.1	ENSMUST00000022257.3
ENSMUST00000022718.10	ENSMUST00000227824.1
ENSMUST00000022718.10	ENSMUST00000172237.1
ENSMUST00000005860.15	ENSMUST00000120592.1
ENSMUST00000147853.7	ENSMUST00000128484.7
ENSMUST00000215293.1	ENSMUST00000062215.7
ENSMUST00000215293.1	ENSMUST00000179828.7
ENSMUST00000111356.7	ENSMUST00000002177.8
ENSMUST00000111356.7	ENSMUST00000111354.1
ENSMUST00000230703.1	ENSMUST00000052449.5
ENSMUST00000190349.1	ENSMUST00000180324.1
ENSMUST00000232253.1	ENSMUST00000117600.8
ENSMUST00000107846.9	ENSMUST00000170241.7
ENSMUST00000194047.2	ENSMUST00000202488.2
ENSMUST00000219260.1	ENSMUST00000042771.7
ENSMUST00000032264.8	ENSMUST00000204956.1
ENSMUST00000192793.5	ENSMUST00000166505.6
ENSMUST00000189022.7	ENSMUST00000186452.6
ENSMUST00000102855.7	ENSMUST00000028207.12
ENSMUST00000113654.7	ENSMUST00000095078.2
ENSMUST00000113654.7	ENSMUST00000139454.2
ENSMUST00000069325.13	ENSMUST00000092469.10
ENSMUST00000051414.1	ENSMUST00000178085.7
ENSMUST00000114095.1	ENSMUST00000194976.1
ENSMUST00000020986.14	ENSMUST00000219923.1
ENSMUST00000020986.14	ENSMUST00000049584.5
ENSMUST00000216247.1	ENSMUST00000215517.1
ENSMUST00000216247.1	ENSMUST00000215564.1
ENSMUST00000216247.1	ENSMUST00000098157.3
ENSMUST00000221170.1	ENSMUST00000065494.7
ENSMUST00000216214.1	ENSMUST00000059996.6
ENSMUST00000196324.1	ENSMUST00000066187.5
ENSMUST00000196324.1	ENSMUST00000198675.1
ENSMUST00000226947.1	ENSMUST00000226300.1
ENSMUST00000215171.1	ENSMUST00000099906.1
ENSMUST00000215138.2	ENSMUST00000099905.1
ENSMUST00000111023.7	ENSMUST00000111020.7
ENSMUST00000111023.7	ENSMUST00000170293.7
ENSMUST00000107433.7	ENSMUST00000107435.7
ENSMUST00000107433.7	ENSMUST00000107432.7
ENSMUST00000107433.7	ENSMUST00000029677.8
ENSMUST00000213989.1	ENSMUST00000107667.2
ENSMUST00000213989.1	ENSMUST00000051600.2
ENSMUST00000153687.7	ENSMUST00000138566.7
ENSMUST00000232139.1	ENSMUST00000090192.11
ENSMUST00000111153.7	ENSMUST00000111152.7
ENSMUST00000200169.5	ENSMUST00000089752.10
ENSMUST00000102602.7	ENSMUST00000102601.9
ENSMUST00000215907.1	ENSMUST00000045620.9
ENSMUST00000215907.1	ENSMUST00000178999.2
ENSMUST00000099830.2	ENSMUST00000216887.1
ENSMUST00000216039.2	ENSMUST00000055298.5
ENSMUST00000072662.11	ENSMUST00000165445.2
ENSMUST00000121325.7	ENSMUST00000121766.7
ENSMUST00000108032.2	ENSMUST00000173865.8
ENSMUST00000108032.2	ENSMUST00000155240.1
ENSMUST00000006898.9	ENSMUST00000110382.8
ENSMUST00000110437.3	ENSMUST00000170908.7
ENSMUST00000033157.9	ENSMUST00000123296.7
ENSMUST00000090821.9	ENSMUST00000202315.2
ENSMUST00000038364.14	ENSMUST00000160261.7
ENSMUST00000216811.1	ENSMUST00000072513.3
ENSMUST00000216304.1	ENSMUST00000217063.1
ENSMUST00000054174.8	ENSMUST00000235058.1
ENSMUST00000054174.8	ENSMUST00000234759.1
ENSMUST00000054174.8	ENSMUST00000179434.7
ENSMUST00000108849.7	ENSMUST00000020830.13
ENSMUST00000237171.1	ENSMUST00000236315.1
ENSMUST00000214757.1	ENSMUST00000081116.1
ENSMUST00000107623.7	ENSMUST00000062652.6
ENSMUST00000222508.1	ENSMUST00000021331.8
ENSMUST00000214599.1	ENSMUST00000209805.2
ENSMUST00000214599.1	ENSMUST00000063151.5
ENSMUST00000174149.7	ENSMUST00000174799.1
ENSMUST00000174149.7	ENSMUST00000181806.6
ENSMUST00000174149.7	ENSMUST00000181684.3
ENSMUST00000020822.11	ENSMUST00000108843.7
ENSMUST00000111620.9	ENSMUST00000111618.7
ENSMUST00000196436.4	ENSMUST00000197186.1
ENSMUST00000008826.13	ENSMUST00000074085.11
ENSMUST00000008826.13	ENSMUST00000076364.5
ENSMUST00000166254.6	ENSMUST00000072933.12
ENSMUST00000043056.8	ENSMUST00000166036.1
ENSMUST00000220001.1	ENSMUST00000219663.1
ENSMUST00000220001.1	ENSMUST00000098263.2
ENSMUST00000216445.1	ENSMUST00000215987.1
ENSMUST00000216445.1	ENSMUST00000215562.1
ENSMUST00000216445.1	ENSMUST00000220416.1
ENSMUST00000216445.1	ENSMUST00000217601.1
ENSMUST00000216445.1	ENSMUST00000214709.1
ENSMUST00000216445.1	ENSMUST00000099790.1
ENSMUST00000111704.7	ENSMUST00000032388.4
ENSMUST00000222784.1	ENSMUST00000221917.1
ENSMUST00000222784.1	ENSMUST00000222058.1
ENSMUST00000222784.1	ENSMUST00000221866.1
ENSMUST00000222784.1	ENSMUST00000048880.6
ENSMUST00000223927.1	ENSMUST00000223631.1
ENSMUST00000223927.1	ENSMUST00000112669.9
ENSMUST00000113200.7	ENSMUST00000028132.13
ENSMUST00000209505.1	ENSMUST00000211798.1
ENSMUST00000103211.7	ENSMUST00000019281.13
ENSMUST00000168797.1	ENSMUST00000101078.11
ENSMUST00000169863.8	ENSMUST00000042517.7
ENSMUST00000219839.1	ENSMUST00000058906.6
ENSMUST00000214214.1	ENSMUST00000058907.3
ENSMUST00000219236.1	ENSMUST00000217776.1
ENSMUST00000164489.2	ENSMUST00000201629.3
ENSMUST00000164489.2	ENSMUST00000171752.2
ENSMUST00000139582.8	ENSMUST00000168435.6
ENSMUST00000106048.9	ENSMUST00000026559.13
ENSMUST00000033642.9	ENSMUST00000087313.9
ENSMUST00000176176.7	ENSMUST00000167682.7
ENSMUST00000178422.8	ENSMUST00000219850.1
ENSMUST00000178422.8	ENSMUST00000047665.6
ENSMUST00000215663.1	ENSMUST00000214269.2
ENSMUST00000215663.1	ENSMUST00000104879.1
ENSMUST00000183200.7	ENSMUST00000182493.7
ENSMUST00000232454.1	ENSMUST00000114710.7
ENSMUST00000232454.1	ENSMUST00000114711.7
ENSMUST00000232454.1	ENSMUST00000114708.1
ENSMUST00000111338.9	ENSMUST00000099716.10
ENSMUST00000130325.7	ENSMUST00000051867.6
ENSMUST00000130325.7	ENSMUST00000146824.1
ENSMUST00000218054.2	ENSMUST00000177747.1
ENSMUST00000121534.7	ENSMUST00000027446.10
ENSMUST00000143472.7	ENSMUST00000152182.1
ENSMUST00000111464.7	ENSMUST00000215110.1
ENSMUST00000047734.14	ENSMUST00000112046.1
ENSMUST00000174370.7	ENSMUST00000037840.11
ENSMUST00000174056.3	ENSMUST00000201582.2
ENSMUST00000080015.11	ENSMUST00000077960.6
ENSMUST00000213511.1	ENSMUST00000207228.2
ENSMUST00000224714.1	ENSMUST00000022262.5
ENSMUST00000227961.1	ENSMUST00000227346.1
ENSMUST00000129285.7	ENSMUST00000143721.1
ENSMUST00000236510.1	ENSMUST00000235612.1
ENSMUST00000236510.1	ENSMUST00000054030.7
ENSMUST00000132241.1	ENSMUST00000216846.1
ENSMUST00000007921.8	ENSMUST00000109098.1
ENSMUST00000207658.3	ENSMUST00000215302.2
ENSMUST00000207658.3	ENSMUST00000056144.6
ENSMUST00000235381.1	ENSMUST00000237054.1
ENSMUST00000211099.1	ENSMUST00000210025.1
ENSMUST00000233974.1	ENSMUST00000003642.6
ENSMUST00000163516.8	ENSMUST00000237854.1
ENSMUST00000160413.7	ENSMUST00000049788.8
ENSMUST00000160413.7	ENSMUST00000177549.7
ENSMUST00000109841.8	ENSMUST00000184736.7
ENSMUST00000139129.8	ENSMUST00000183352.6
ENSMUST00000108671.1	ENSMUST00000065040.12
ENSMUST00000228574.1	ENSMUST00000164732.1
ENSMUST00000023351.10	ENSMUST00000117136.1
ENSMUST00000035721.13	ENSMUST00000152362.6
ENSMUST00000072725.11	ENSMUST00000042627.15
ENSMUST00000113278.8	ENSMUST00000113277.7
ENSMUST00000070968.13	ENSMUST00000186857.6
ENSMUST00000160719.7	ENSMUST00000161702.7
ENSMUST00000160719.7	ENSMUST00000034066.3
ENSMUST00000068581.8	ENSMUST00000220069.1
ENSMUST00000109504.7	ENSMUST00000078362.12
ENSMUST00000216659.1	ENSMUST00000055672.3
ENSMUST00000103618.1	ENSMUST00000103592.1
ENSMUST00000120095.7	ENSMUST00000030087.13
ENSMUST00000030948.15	ENSMUST00000168552.1
ENSMUST00000109948.7	ENSMUST00000109949.7
ENSMUST00000147535.7	ENSMUST00000092621.11
ENSMUST00000159798.7	ENSMUST00000110929.8
ENSMUST00000216460.1	ENSMUST00000071559.2
ENSMUST00000173432.2	ENSMUST00000000704.5
ENSMUST00000184973.7	ENSMUST00000064831.5
ENSMUST00000184973.7	ENSMUST00000185072.7
ENSMUST00000161785.7	ENSMUST00000054555.9
ENSMUST00000113043.7	ENSMUST00000113045.8
ENSMUST00000113043.7	ENSMUST00000113041.8
ENSMUST00000113043.7	ENSMUST00000113042.2
ENSMUST00000204473.1	ENSMUST00000229461.1
ENSMUST00000173456.7	ENSMUST00000172727.1
ENSMUST00000226311.1	ENSMUST00000226886.1
ENSMUST00000188454.6	ENSMUST00000115403.8
ENSMUST00000213188.2	ENSMUST00000134055.2
ENSMUST00000236683.1	ENSMUST00000236161.1
ENSMUST00000203874.2	ENSMUST00000229714.1
ENSMUST00000206777.1	ENSMUST00000205982.1
ENSMUST00000165963.8	ENSMUST00000093192.3
ENSMUST00000061973.4	ENSMUST00000112053.1
ENSMUST00000108047.7	ENSMUST00000000096.11
ENSMUST00000213164.1	ENSMUST00000051004.4
ENSMUST00000204702.2	ENSMUST00000230348.1
ENSMUST00000025393.13	ENSMUST00000114939.1
ENSMUST00000130515.8	ENSMUST00000061287.11
ENSMUST00000108647.2	ENSMUST00000180916.3
ENSMUST00000183219.7	ENSMUST00000051997.8
ENSMUST00000237999.1	ENSMUST00000237573.1
ENSMUST00000228783.1	ENSMUST00000230970.1
ENSMUST00000058806.6	ENSMUST00000224534.1
ENSMUST00000029043.12	ENSMUST00000172126.7
ENSMUST00000029043.12	ENSMUST00000117917.7
ENSMUST00000029043.12	ENSMUST00000119761.1
ENSMUST00000226130.1	ENSMUST00000228276.1
ENSMUST00000226130.1	ENSMUST00000164307.1
ENSMUST00000105404.8	ENSMUST00000144547.7
ENSMUST00000213329.1	ENSMUST00000077836.2
ENSMUST00000219543.1	ENSMUST00000218089.1
ENSMUST00000219543.1	ENSMUST00000020990.6
ENSMUST00000115437.3	ENSMUST00000076422.12
ENSMUST00000144234.7	ENSMUST00000105410.9
ENSMUST00000212730.2	ENSMUST00000215981.1
ENSMUST00000214209.1	ENSMUST00000099850.1
ENSMUST00000161094.7	ENSMUST00000159619.7
ENSMUST00000161094.7	ENSMUST00000160129.7
ENSMUST00000211093.2	ENSMUST00000216258.1
ENSMUST00000211093.2	ENSMUST00000215308.1
ENSMUST00000211093.2	ENSMUST00000217179.1
ENSMUST00000211093.2	ENSMUST00000071755.4
ENSMUST00000075845.10	ENSMUST00000171937.1
ENSMUST00000231904.1	ENSMUST00000147867.2
ENSMUST00000107358.8	ENSMUST00000004143.2
ENSMUST00000114927.8	ENSMUST00000150624.8
ENSMUST00000230019.1	ENSMUST00000230421.1
ENSMUST00000215370.1	ENSMUST00000170846.7
ENSMUST00000179450.8	ENSMUST00000126038.3
ENSMUST00000142443.7	ENSMUST00000165379.7
ENSMUST00000055833.11	ENSMUST00000100009.10
ENSMUST00000055833.11	ENSMUST00000112017.7
ENSMUST00000031349.8	ENSMUST00000111453.1
ENSMUST00000106248.7	ENSMUST00000081042.5
ENSMUST00000237540.1	ENSMUST00000237810.1
